"Fondsposition per,""19.Juli2024"""
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PKO,""POWSZECHNA KASA OSZCZEDNOSCI BANK"",""Financials"",""Aktien"",""33.110.636,42"",""0,15"",""33.110.636,42"",""2.166.281,00"",""15,28"",""Polen"",""Warsaw Stock Exchange/Equities/Main Market"",""PLN"""
"1024,""KUAISHOU TECHNOLOGY"",""Kommunikation"",""Aktien"",""33.088.837,39"",""0,15"",""33.088.837,39"",""5.718.000,00"",""5,79"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"BEL,""BHARAT ELECTRONICS LTD"",""Industrie"",""Aktien"",""33.010.007,29"",""0,15"",""33.010.007,29"",""9.016.323,00"",""3,66"",""Indien"",""National Stock Exchange Of India"",""INR"""
"PBBANK,""PUBLIC BANK"",""Financials"",""Aktien"",""32.724.749,65"",""0,15"",""32.724.749,65"",""36.178.600,00"",""0,90"",""Malaysia"",""Bursa Malaysia"",""MYR"""
"086790,""HANA FINANCIAL GROUP INC"",""Financials"",""Aktien"",""32.611.324,34"",""0,15"",""32.611.324,34"",""721.298,00"",""45,21"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"2884,""E.SUN FINANCIAL HOLDING LTD"",""Financials"",""Aktien"",""32.241.032,19"",""0,15"",""32.241.032,19"",""34.872.007,00"",""0,92"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"2082,""ACWA POWER CO"",""Versorger"",""Aktien"",""32.150.144,13"",""0,15"",""32.150.144,13"",""307.319,00"",""104,61"",""Saudi-Arabien"",""Saudi Stock Exchange"",""SAR"""
"1216,""UNI-PRESIDENT ENTERPRISES CORP"",""Nichtzyklische Konsumgüter"",""Aktien"",""31.077.034,66"",""0,14"",""31.077.034,66"",""11.700.736,00"",""2,66"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"CPI,""CAPITEC LTD"",""Financials"",""Aktien"",""30.800.344,87"",""0,14"",""30.800.344,87"",""208.539,00"",""147,70"",""Südafrika"",""Johannesburg Stock Exchange"",""ZAR"""
"WEGE3,""WEG SA"",""Industrie"",""Aktien"",""30.242.733,68"",""0,14"",""30.242.733,68"",""3.549.828,00"",""8,52"",""Brasilien"",""XBSP"",""BRL"""
"YUMC,""YUM CHINA HOLDINGS INC"",""Zyklische Konsumgüter "",""Aktien"",""29.976.413,76"",""0,14"",""29.976.413,76"",""988.668,00"",""30,32"",""China"",""New York Stock Exchange Inc."",""USD"""
"2015,""LI AUTO CLASS A INC"",""Zyklische Konsumgüter "",""Aktien"",""29.759.442,70"",""0,14"",""29.759.442,70"",""3.009.036,00"",""9,89"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"JIOFIN,""JIO FINANCIAL SERVICES LTD"",""Financials"",""Aktien"",""29.487.958,23"",""0,13"",""29.487.958,23"",""7.282.764,00"",""4,05"",""Indien"",""National Stock Exchange Of India"",""INR"""
